distancia	duracion	Selected	Cluster	Silhouette
4347.0	660.0	No	C1	
5347.0	865.0	No	C2	
5542.0	1121.0	No	C2	
7007.0	1596.0	No	C2	
1166.0	456.0	No	C1	
1394.0	540.0	No	C1	
4825.0	993.0	No	C1	
1110.0	358.0	No	C1	
5356.0	1393.0	No	C2	
3960.0	1022.0	No	C1	
9878.0	1584.0	No	C2	
986.0	464.0	No	C1	
727.0	241.0	No	C1	
7918.0	1660.0	No	C2	
2775.0	732.0	No	C1	
2864.0	788.0	No	C1	
14.0	1506.0	No	C1	
676.0	235.0	No	C1	
2109.0	912.0	No	C1	
2447.0	716.0	No	C1	
1501.0	496.0	No	C1	
1090.0	370.0	No	C1	
3629.0	859.0	No	C1	
352.0	459.0	No	C1	
1371.0	438.0	No	C1	
1480.0	437.0	No	C1	
1200.0	297.0	No	C1	
2433.0	784.0	No	C1	
1437.0	509.0	No	C1	
1498.0	641.0	No	C1	
2326.0	966.0	No	C1	
2931.0	746.0	No	C1	
4948.0	850.0	No	C2	
9262.0	1915.0	No	C2	
4569.0	1206.0	No	C1	
886.0	269.0	No	C1	
7440.0	1126.0	No	C2	
3046.0	666.0	No	C1	
1282.0	440.0	No	C1	
1380.0	527.0	No	C1	
2869.0	748.0	No	C1	
4188.0	849.0	No	C1	
3611.0	856.0	No	C1	
7783.0	1247.0	No	C2	
125.0	475.0	No	C1	
6146.0	1617.0	No	C2	
1092.0	186.0	No	C1	
2839.0	757.0	No	C1	
2346.0	599.0	No	C1	
12906.0	1734.0	No	C2	
5107.0	1268.0	No	C2	
2396.0	732.0	No	C1	
9740.0	1396.0	No	C2	
4443.0	753.0	No	C1	
1999.0	691.0	No	C1	
9809.0	1851.0	No	C2	
3649.0	974.0	No	C1	
7232.0	1242.0	No	C2	
5365.0	1350.0	No	C2	
2342.0	580.0	No	C1	
4295.0	1055.0	No	C1	
2873.0	845.0	No	C1	
34.0	873.0	No	C1	
5197.0	1391.0	No	C2	
3007.0	720.0	No	C1	
6449.0	1315.0	No	C2	
4947.0	1097.0	No	C2	
6504.0	1444.0	No	C2	
2010.0	661.0	No	C1	
9.0	475.0	No	C1	
500.0	246.0	No	C1	
4194.0	1187.0	No	C1	
1237.0	327.0	No	C1	
2263.0	628.0	No	C1	
5933.0	1374.0	No	C2	
13462.0	2327.0	No	C2	
5608.0	1040.0	No	C2	
3858.0	861.0	No	C1	
7514.0	1406.0	No	C2	
3411.0	1075.0	No	C1	
3268.0	771.0	No	C1	
2728.0	721.0	No	C1	
1503.0	509.0	No	C1	
1065.0	410.0	No	C1	
4287.0	1007.0	No	C1	
1942.0	721.0	No	C1	
2691.0	883.0	No	C1	
2270.0	347.0	No	C1	
4992.0	1436.0	No	C2	
3033.0	907.0	No	C1	
1971.0	561.0	No	C1	
7022.0	1561.0	No	C2	
3891.0	823.0	No	C1	
1363.0	377.0	No	C1	
4572.0	1091.0	No	C1	
2252.0	474.0	No	C1	
4871.0	1352.0	No	C2	
