Id Taxista R,Id Viaje R,Distancia,Duracion
664,14966,"1,812",462
664,15000,"1,055",313
664,15704,"1,304",407
664,15734,798,305
664,15833,"2,601",647
664,15847,"3,977","1,094"
664,16088,"2,779",849
664,16143,"4,746","1,084"
664,16285,"2,003",642
664,16650,"5,564","1,416"
664,16663,"2,428",686
664,16675,"9,289","2,159"
664,16683,"4,146","1,033"
664,16826,"2,537",718
664,16854,"1,221",340
664,16867,"2,129",713
664,16935,"6,049","1,171"
664,17089,"5,237","1,487"
664,17153,"1,108",311
664,17170,"3,542",824
664,17173,"2,557",931
664,18185,"11,752","1,925"
664,18202,"1,162",468
664,18244,"4,625","1,077"
664,18307,"5,699","1,280"
664,18422,"9,740","1,570"
664,18450,"5,361","1,314"
664,18951,"2,652",565
594,58,"6,175","1,457"
594,60,"4,193",850
594,266,473,"1,048"
594,268,"2,189",669
594,280,"5,332",813
594,318,"6,161","1,120"
594,363,"5,335","1,487"
594,540,"1,742",500
594,551,"7,714","1,735"
594,616,"7,784","1,247"
594,650,"3,859",861
594,695,"4,376",968
594,707,"4,761",809
594,860,692,311
594,964,"1,572",428
594,966,965,355
594,1055,"1,162",394
594,1075,"2,488",837
594,1082,"3,231",725
594,1087,"1,625",660
594,1107,"6,914","1,398"
594,1236,"4,262",994
594,1246,"3,779",955
594,1264,"5,413","1,067"
594,1299,"2,768",715
594,1388,"2,054",664
594,1488,"5,042","1,090"
594,1523,"1,046",377
594,1701,"2,212",654
594,1847,"1,899",530
594,1865,925,340
594,1967,"10,215","1,361"
594,2071,"2,494",723
594,2083,864,222
594,2107,"7,981","1,318"
594,2290,"9,278","2,187"
594,2546,"4,623","1,099"
594,2551,"5,223","1,270"
594,2637,"3,017",776
594,2761,"2,738",722
594,2981,"4,722","1,180"
594,3040,"8,340","1,826"
594,3411,"7,734","1,939"
594,3426,"1,029",412
594,3446,"1,681",446
594,3459,"5,306",979
594,3678,"3,036",795
594,3680,"6,037","1,144"
594,3769,"1,952",718
594,3776,"1,531",322
594,3781,"7,805","1,087"
594,3885,"4,434","1,165"
594,4024,"5,291",993
594,4227,"10,046","1,785"
594,4280,"3,944",830
594,4288,"3,114",438
594,4484,"2,635",649
594,4818,"1,834",639
594,4873,"2,992",813
594,5061,"5,236","1,159"
594,5156,"9,275","1,015"
594,5164,"8,096","1,424"
594,5206,"6,678","1,325"
594,5273,"3,647","1,058"
594,5317,"10,167","2,160"
594,5390,"8,473","1,885"
594,5408,"5,137","1,240"
594,5648,"1,002",349
594,5747,"2,503",611
594,5923,"4,198","1,258"
594,6101,98,905
594,6270,"2,078",881
594,6303,"7,236","1,535"
594,6349,"1,241",624
594,6354,"4,551","1,047"
594,6431,"10,787","1,619"
594,6442,"13,465","2,650"
594,6613,"5,789","1,415"
594,6616,837,185
594,6643,"2,859",804
594,6654,"1,099",540
594,7328,"4,242","1,235"
594,7347,"8,141","1,670"
594,7358,"3,148",919
594,7383,"7,331","1,522"
594,7411,449,"1,866"
594,7962,"10,265","2,082"
594,7988,979,318
594,8259,"4,189","1,002"
594,8270,"3,084",818
594,8281,"3,389",895
594,8290,"3,174",741
594,8347,"2,622",699
594,8358,811,399
594,8384,"1,931",526
594,8394,"7,804","1,845"
594,8481,8,"1,784"
594,8528,"2,007",432
594,9296,"2,477",693
594,9398,"2,360",733
594,9427,"3,373","1,152"
594,9612,"7,291","1,115"
594,9773,"5,137","1,450"
594,9812,"5,391","1,465"
594,9880,"2,770",652
594,10136,"5,402","1,163"
594,10171,"3,182","1,003"
594,10612,"5,329","1,473"
594,10941,"3,254",818
594,11085,"2,544",725
594,11100,"3,206",649
594,11118,"1,071",388
594,11127,"3,511",636
594,11131,713,372
594,11138,"3,341","1,249"
594,11368,"3,027",681
594,11390,"5,747","1,261"
594,11751,"2,674",695
594,11762,"5,124","1,066"
594,11780,"2,909",682
594,11823,"4,841","1,219"
594,11833,"3,405",962
594,12010,"1,935",684
594,12368,"1,660",453
594,13111,"1,740",408
594,13233,"5,963","1,487"
594,13246,"2,535",769
594,13429,"2,829",843
594,13457,"4,044","1,165"
594,13478,"6,688","1,260"
594,13612,613,159
594,13747,"4,845","1,180"
594,13890,"8,061","1,756"
594,13908,"3,051","1,044"
594,14330,"1,522",501
594,14652,"4,205",997
594,14684,"4,434","1,040"
594,14948,"7,813","1,452"
594,14956,"1,144",376
594,15197,"3,454",787
594,15233,"1,137",276
594,15494,"2,382",815
594,15727,"3,116",945
594,15865,"5,661","1,131"
594,16138,"2,609",582
594,16284,"6,985",890
594,16681,"3,634",938
594,16687,"3,292","1,010"
594,16822,"2,602",643
594,16869,"2,946",886
594,16975,"2,018","1,312"
594,17079,"4,955",979
594,17465,"3,688","1,106"
594,17471,"3,877",960
594,18207,"1,742",571
594,18252,"5,653","1,582"
594,18405,"2,395",886
594,19080,"6,040",836
295,7,"3,194",688
295,54,"1,742",346
295,77,"1,630",447
295,106,"3,805",886
295,207,"3,497",841
295,349,"4,471",914
295,578,"1,395",540
295,660,"2,270",347
295,753,"6,381",656
295,829,"1,715",471
295,875,"1,356",608
295,942,"2,721",611
295,1197,536,251
295,1247,"3,529","1,056"
295,1266,"2,803",616
295,1471,"3,141","1,052"
295,1482,"1,372",538
295,1490,"3,027",701
295,1546,"4,426","1,234"
295,1549,"6,314",942
295,1921,"2,398",543
295,2040,"4,403","1,123"
295,2275,"2,328",750
295,2310,"3,757","1,038"
295,2423,"4,594",935
295,2604,"4,383","1,045"
295,2689,"4,092","1,073"
295,2729,"10,595","1,822"
295,2759,"1,383",321
295,2788,"2,926",595
295,2944,"3,593",893
295,3004,"4,863","1,341"
295,3035,"1,742",534
295,3310,"1,031",401
295,3443,"5,068","1,207"
295,3447,"4,068",953
295,3630,"7,727","1,388"
295,3994,"4,251","1,285"
295,4037,"1,344",427
295,4051,"4,500","1,266"
295,4110,890,213
295,4201,"2,919",698
