Year of Fecha,Month of Fecha,Estacion,Lat,Long,PersonasPromedio
2017,May,FLORIDA,-34.60329729,-58.37507152,"17,277"
2017,May,GENERAL BELGRANO,-34.61284911,-58.37758089,"2,497"
2017,May,GENERAL SAN MARTIN,-34.5950574,-58.37781905,"7,804"
2017,May,HOSPITALES,-34.64126894,-58.41238515,"7,941"
2017,May,HUMBERTO I,-34.62309232,-58.40232273,"4,502"
2017,May,INCLAN,-34.62937566,-58.40096956,"3,908"
2017,May,INDEPENDENCIA,-34.6181256,-58.38017361,"11,026"
2017,May,INDEPENDENCIA,-34.61793739,-58.38153494,"11,026"
2017,May,JOSE HERNANDEZ,-34.56621524,-58.4521256,"10,179"
2017,May,JOSE MARIA MORENO,-34.62801755,-58.43381625,"3,326"
2017,May,JUJUY,-34.62386571,-58.40293658,"2,542"
2017,May,JURAMENTO,-34.56230909,-58.45648913,"14,762"
2017,May,LAS HERAS,-34.58746155,-58.39721558,"11,093"
2017,May,LAVALLE,-34.60176992,-58.37815578,"8,183"
2017,May,LEANDRO N. ALEM,-34.6029895,-58.36992985,"21,076"
2017,May,LIMA,-34.60909981,-58.3822324,"6,806"
2017,May,LORIA,-34.61078169,-58.41518571,"6,515"
2017,May,LOS INCAS,-34.58124885,-58.47424083,"8,503"
2017,May,MALABIA,-34.59896736,-58.4397715,"16,454"
2017,May,MARIANO MORENO,-34.61261728,-58.38044447,"6,303"
2017,May,MEDALLA MILAGROSA,-34.63638919,-58.45027826,"1,638"
2017,May,MEDRANO,-34.6031649,-58.42096247,"15,131"
2017,May,MINISTRO CARRANZA,-34.57517836,-58.43501353,"10,309"
2017,May,OLLEROS,-34.57001231,-58.44466815,"11,002"
2017,May,ONCE,-34.60893524,-58.40603638,"9,222"
2017,May,PALERMO,-34.57842202,-58.42571144,"16,074"
2017,May,PASCO,-34.60964596,-58.39842699,"3,111"
2017,May,PASTEUR,-34.60464297,-58.39947426,"11,246"
